stt,start_id,end_id,type
0,2,3,ENTRY
1,2,4,EXIT
2,7,8,PARENT_OF
3,6,7,PARENT_OF
4,6,9,PARENT_OF
5,5,6,PARENT_OF
6,12,13,PARENT_OF
7,11,12,PARENT_OF
8,11,14,PARENT_OF
9,10,11,PARENT_OF
10,10,15,PARENT_OF
11,5,10,PARENT_OF
12,18,19,PARENT_OF
13,17,18,PARENT_OF
14,17,20,PARENT_OF
15,16,17,PARENT_OF
16,22,23,PARENT_OF
17,21,22,PARENT_OF
18,21,24,PARENT_OF
19,16,21,PARENT_OF
20,5,16,PARENT_OF
21,27,28,PARENT_OF
22,26,27,PARENT_OF
23,26,29,PARENT_OF
24,25,26,PARENT_OF
25,25,30,PARENT_OF
26,5,25,PARENT_OF
27,32,33,PARENT_OF
28,31,32,PARENT_OF
29,35,36,PARENT_OF
30,34,35,PARENT_OF
31,34,37,PARENT_OF
32,31,34,PARENT_OF
33,5,31,PARENT_OF
34,39,40,PARENT_OF
35,38,39,PARENT_OF
36,42,43,PARENT_OF
37,41,42,PARENT_OF
38,45,46,PARENT_OF
39,44,45,PARENT_OF
40,48,49,PARENT_OF
41,47,48,PARENT_OF
42,44,47,PARENT_OF
43,41,44,PARENT_OF
44,38,41,PARENT_OF
45,5,38,PARENT_OF
46,53,54,PARENT_OF
47,52,53,PARENT_OF
48,56,57,PARENT_OF
49,55,56,PARENT_OF
50,59,60,PARENT_OF
51,58,59,PARENT_OF
52,55,58,PARENT_OF
53,52,55,PARENT_OF
54,51,52,PARENT_OF
55,63,64,PARENT_OF
56,62,63,PARENT_OF
57,65,66,PARENT_OF
58,62,65,PARENT_OF
59,61,62,PARENT_OF
60,51,61,PARENT_OF
61,50,51,PARENT_OF
62,67,68,PARENT_OF
63,71,72,PARENT_OF
64,70,71,PARENT_OF
65,70,73,PARENT_OF
66,69,70,PARENT_OF
67,67,69,PARENT_OF
68,50,67,PARENT_OF
69,5,50,PARENT_OF
70,75,76,PARENT_OF
71,74,75,PARENT_OF
72,78,79,PARENT_OF
73,80,81,PARENT_OF
74,78,80,PARENT_OF
75,77,78,PARENT_OF
76,77,82,PARENT_OF
77,74,77,PARENT_OF
78,5,74,PARENT_OF
79,84,85,PARENT_OF
80,83,84,PARENT_OF
81,87,88,PARENT_OF
82,86,87,PARENT_OF
83,90,91,PARENT_OF
84,89,90,PARENT_OF
85,86,89,PARENT_OF
86,83,86,PARENT_OF
87,5,83,PARENT_OF
88,2,5,PARENT_OF
89,1,2,FILE_OF
90,93,94,ENTRY
91,93,95,EXIT
92,98,99,PARENT_OF
93,97,98,PARENT_OF
94,97,100,PARENT_OF
95,96,97,PARENT_OF
96,103,104,PARENT_OF
97,102,103,PARENT_OF
98,102,105,PARENT_OF
99,101,102,PARENT_OF
100,101,106,PARENT_OF
101,96,101,PARENT_OF
102,109,110,PARENT_OF
103,108,109,PARENT_OF
104,108,111,PARENT_OF
105,107,108,PARENT_OF
106,113,114,PARENT_OF
107,112,113,PARENT_OF
108,112,115,PARENT_OF
109,107,112,PARENT_OF
110,96,107,PARENT_OF
111,118,119,PARENT_OF
112,117,118,PARENT_OF
113,117,120,PARENT_OF
114,116,117,PARENT_OF
115,116,121,PARENT_OF
116,96,116,PARENT_OF
117,123,124,PARENT_OF
118,122,123,PARENT_OF
119,126,127,PARENT_OF
120,125,126,PARENT_OF
121,125,128,PARENT_OF
122,122,125,PARENT_OF
123,96,122,PARENT_OF
124,130,131,PARENT_OF
125,129,130,PARENT_OF
126,133,134,PARENT_OF
127,132,133,PARENT_OF
128,129,132,PARENT_OF
129,96,129,PARENT_OF
130,136,137,PARENT_OF
131,135,136,PARENT_OF
132,139,140,PARENT_OF
133,141,142,PARENT_OF
134,139,141,PARENT_OF
135,138,139,PARENT_OF
136,138,143,PARENT_OF
137,135,138,PARENT_OF
138,96,135,PARENT_OF
139,145,146,PARENT_OF
140,144,145,PARENT_OF
141,148,149,PARENT_OF
142,147,148,PARENT_OF
143,151,152,PARENT_OF
144,150,151,PARENT_OF
145,147,150,PARENT_OF
146,144,147,PARENT_OF
147,96,144,PARENT_OF
148,93,96,PARENT_OF
149,92,93,FILE_OF
150,153,1,DIRECTORY_OF
151,153,92,DIRECTORY_OF
152,0,153,DIRECTORY_OF
0,3,6,FLOWS_TO
1,6,10,FLOWS_TO
2,10,16,FLOWS_TO
3,16,25,FLOWS_TO
4,25,31,FLOWS_TO
5,31,38,FLOWS_TO
6,38,52,FLOWS_TO
7,52,62,FLOWS_TO
8,52,70,FLOWS_TO
9,62,74,FLOWS_TO
10,70,74,FLOWS_TO
11,74,83,FLOWS_TO
12,83,4,FLOWS_TO
13,25,31,REACHES
14,31,38,REACHES
15,38,52,REACHES
16,38,62,REACHES
17,70,74,REACHES
18,62,74,REACHES
19,74,83,REACHES
20,94,97,FLOWS_TO
21,97,101,FLOWS_TO
22,101,107,FLOWS_TO
23,107,116,FLOWS_TO
24,116,122,FLOWS_TO
25,122,129,FLOWS_TO
26,129,135,FLOWS_TO
27,135,144,FLOWS_TO
28,144,95,FLOWS_TO
29,116,122,REACHES
30,122,129,REACHES
31,129,135,REACHES
32,135,144,REACHES
