stt,id,type
0,0,Directory
1,1,File
2,2,AST_TOPLEVEL
3,3,CFG_FUNC_ENTRY
4,4,CFG_FUNC_EXIT
5,5,AST_STMT_LIST
6,6,AST_ASSIGN
7,7,AST_VAR
8,8,string
9,9,AST_ARRAY
10,10,AST_ASSIGN
11,11,AST_DIM
12,12,AST_VAR
13,13,string
14,14,
15,15,string
16,16,AST_ASSIGN
17,17,AST_DIM
18,18,AST_VAR
19,19,string
20,20,
21,21,AST_DIM
22,22,AST_VAR
23,23,string
24,24,string
25,25,AST_ASSIGN
26,26,AST_DIM
27,27,AST_VAR
28,28,string
29,29,
30,30,string
31,31,AST_ASSIGN
32,32,AST_VAR
33,33,string
34,34,AST_DIM
35,35,AST_VAR
36,36,string
37,37,integer
38,38,AST_ASSIGN
39,39,AST_VAR
40,40,string
41,41,AST_CALL
42,42,AST_NAME
43,43,string
44,44,AST_ARG_LIST
45,45,AST_VAR
46,46,string
47,47,AST_CONST
48,48,AST_NAME
49,49,string
50,50,AST_IF
51,51,AST_IF_ELEM
52,52,AST_CALL
53,53,AST_NAME
54,54,string
55,55,AST_ARG_LIST
56,56,AST_VAR
57,57,string
58,58,AST_CONST
59,59,AST_NAME
60,60,string
61,61,AST_STMT_LIST
62,62,AST_ASSIGN
63,63,AST_VAR
64,64,string
65,65,AST_VAR
66,66,string
67,67,AST_IF_ELEM
68,68,
69,69,AST_STMT_LIST
70,70,AST_ASSIGN
71,71,AST_VAR
72,72,string
73,73,string
74,74,AST_ASSIGN
75,75,AST_VAR
76,76,string
77,77,AST_BINARY_OP
78,78,AST_BINARY_OP
79,79,string
80,80,AST_VAR
81,81,string
82,82,string
83,83,AST_ASSIGN
84,84,AST_VAR
85,85,string
86,86,AST_CALL
87,87,AST_NAME
88,88,string
89,89,AST_ARG_LIST
90,90,AST_VAR
91,91,string
92,92,File
93,93,AST_TOPLEVEL
94,94,CFG_FUNC_ENTRY
95,95,CFG_FUNC_EXIT
96,96,AST_STMT_LIST
97,97,AST_ASSIGN
98,98,AST_VAR
99,99,string
100,100,AST_ARRAY
101,101,AST_ASSIGN
102,102,AST_DIM
103,103,AST_VAR
104,104,string
105,105,
106,106,string
107,107,AST_ASSIGN
108,108,AST_DIM
109,109,AST_VAR
110,110,string
111,111,
112,112,AST_DIM
113,113,AST_VAR
114,114,string
115,115,string
116,116,AST_ASSIGN
117,117,AST_DIM
118,118,AST_VAR
119,119,string
120,120,
121,121,string
122,122,AST_ASSIGN
123,123,AST_VAR
124,124,string
125,125,AST_DIM
126,126,AST_VAR
127,127,string
128,128,integer
129,129,AST_ASSIGN
130,130,AST_VAR
131,131,string
132,132,AST_CAST
133,133,AST_VAR
134,134,string
135,135,AST_ASSIGN
136,136,AST_VAR
137,137,string
138,138,AST_BINARY_OP
139,139,AST_BINARY_OP
140,140,string
141,141,AST_VAR
142,142,string
143,143,string
144,144,AST_ASSIGN
145,145,AST_VAR
146,146,string
147,147,AST_CALL
148,148,AST_NAME
149,149,string
150,150,AST_ARG_LIST
151,151,AST_VAR
152,152,string
153,153,Directory
